aro,name,definition,is_a
"ARO:3000053","peptide antibiotic","Peptide antibiotics have a wide range of antibacterial mechanisms, depending on the amino acids that make up the antibiotic, although most act to disrupt the cell membrane in some manner. Subclasses of peptide antibiotics can include additional sidechains of other types, such as lipids in the case of the lipopeptide antibiotics. [PMID:10348745, PMID:18065456]","['ARO:1000003 ! antibiotic molecule']"
"ARO:0000032","cephalosporin","Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms. [PMID:11585791, PMID:6810737, PMID:15673804]","['ARO:3000276 ! cephem']"
"ARO:3000050","tetracycline antibiotic","These antibiotics are derived from tetracycline, a polyketide antibiotic that inhibits the 30S subunit of bacterial ribosomes. [PMID:11381101]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3005386","disinfecting agents and intercalating dyes","Molecules that intercalate DNA or act as disinfectants that also interact with antimicrobial resistance mechanisms, e.g. molecule efflux, and thus are the targets of disinfectant resistance. []","['ARO:1000003 ! antibiotic molecule']"
"ARO:3004025","prothionamide","Prothionamide is a thioamide derivative with antibacterial properties. It increases cell wall permeability and decreases cell wall damage resistance by inhibition of mycolic acid synthesis, resulting in cell death. It is particularly used to treat M. tuberculosis and M. leprae infections. [PMID:6459296]","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:3000554","mupirocin","Mupirocin, also known as pseudomonic acid, is a bacteriostatic polyketide antibiotic from Pseudomonas fluorescens used to treat S. aureus and MRSA. It inhibits Ile tRNA synthetase. [PMID:21336932]","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:3003413","pyrazinamide","Pyrazinamide is an Antimycobacterial. It is highly specific and active only against Mycobacterium tuberculosis. This compound is a prodrug and needs to be activated inside the cell. It interferes with the bacterium's ability to synthesize new fatty acids, causing cell death. []","['ARO:3000003 ! antibiotic without defined classification']"
"ARO:0000017","lincosamide antibiotic","Lincosamides (e.g. lincomycin, clindamycin) are a class of drugs which bind to the 23s portion of the 50S subunit of bacterial ribosomes. This interaction inhibits early elongation of peptide chains by inhibiting the transpeptidase reaction, acting similarly to macrolides. [PMID:15135500, PMID:10582867]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000103","aminocoumarin antibiotic","Aminocoumarin antibiotics bind DNA gyrase subunit B to inhibit ATP-dependent DNA supercoiling. [PMID:8231802]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3003401","sulfone antibiotic","A sulfone active against a wide range of bacteria but mainly employed for its actions against mycobacterium laprae. Its mechanism of action  involves inhibition of folic acid synthesis in susceptible organisms. []","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000387","phenicol antibiotic","Phenicols are broad spectrum bacteriostatic antibiotics acting on bacterial protein synthesis. More specifically, the phenicols block peptide elongation by binding to the peptidyltansferase centre of the 70S ribosome. [PMID:12860128]","['ARO:1000003 ! antibiotic molecule']"
"ARO:0000026","streptogramin antibiotic","Streptogramin antibiotics are natural products produced by various members of the Streptomyces genus. These antibiotics bind to the P site of the 50S subunit of bacterial ribosomes to inhibit protein synthesis. The family consists of two subgroups, type A and type B, which are simultaneously produced by the same bacterial species in a ratio of roughly 70:30. [PMID:15700955]","['ARO:1000003 ! antibiotic molecule']"
"ARO:3000527","polyamine antibiotic","Polyamine antibiotics are organic compounds having two or more primary amino groups. []","['ARO:1000003 ! antibiotic molecule']"
