name
Enterobacter chengduensis
Butyricimonas faecalis
Victivallales bacterium
Neisseria meningitidis
Herbinix luporum
Staphylococcus aureus
Enterococcus hirae
Streptococcus agalactiae
Acinetobacter haemolyticus
Cytophaga hutchinsonii
Staphylococcus schleiferi
Bacillus halotolerans
Stenotrophomonas maltophilia
Enterobacter asburiae
Lactobacillus animalis
Pseudomonas putida
Lactobacillus iners
Pseudomonas brassicacearum
Citrobacter freundii
Burkholderia contaminans
Acinetobacter pittii
Lactobacillus johnsonii
Pseudomonas syringae
Brucella abortus
Actinobacillus pleuropneumoniae
Clostridioides difficile
Bordetella trematum
Clostridium tetani
Peptoniphilus harei
Thalassospira indica
Staphylococcus lugdunensis
Yersinia enterocolitica
Enterobacter hormaechei
Bifidobacterium thermophilum
Corynebacterium jeikeium
Staphylococcus haemolyticus
Mycoplasma pneumoniae
Gemella morbillorum
Staphylococcus epidermidis
Citrobacter werkmanii
Moraxella catarrhalis
Brucella melitensis
Dysosmobacter welbionis
Listeria innocua
Myroides odoratimimus
Brucella canis
Salmonella enterica
Clostridium sporogenes
Parvimonas micra
Citrobacter youngae
Corynebacterium imitans
Paracoccus denitrificans
Clostridium botulinum
Streptococcus constellatus
Streptococcus pseudoporcinus
Comamonas testosteroni
Streptococcus lutetiensis
Bacillus velezensis
Enterobacter cloacae
Enterococcus avium
Mycobacterium tuberculosis
Streptococcus equinus
Cupriavidus campinensis
Neisseria brasiliensis
Campylobacter jejuni
Clostridiales bacterium
Pectobacterium parmentieri
Streptococcus pneumoniae
Chryseobacterium nakagawai
Propionibacterium freudenreichii
Actinobacillus porcitonsillarum
Acinetobacter baumannii
Chlamydia trachomatis
Eubacterium maltosivorans
Leclercia adecarboxylata
Citrobacter amalonaticus
Brevibacillus brevis
Anaerococcus mediterraneensis
Shigella boydii
Burkholderia dolosa
Glutamicibacter creatinolyticus
Acinetobacter indicus
Vibrio metoecus
Mycoplasma genitalium
Glaesserella parasuis
Dechloromonas aromatica
Brucella suis
Raoultella planticola
Neisseria gonorrhoeae
Providencia heimbachae
Burkholderia cenocepacia
Roseburia hominis
Clostridium perfringens
Bordetella pertussis
Gordonibacter urolithinfaciens
Rhodobacteraceae bacterium
Escherichia albertii
Bacillus anthracis
Burkholderia multivorans
Rhodanobacter glycinis
Streptococcus cristatus
Pseudomonas koreensis
Clostridium hiranonis
Phocaeicola dorei
Klebsiella huaxiensis
Vibrio parahaemolyticus
Sphingobacterium hotanense
Klebsiella oxytoca
Delftia tsuruhatensis
Escherichia marmotae
Achromobacter xylosoxidans
Acinetobacter towneri
Vibrio owensii
Enterobacter roggenkampii
Lachnospiraceae bacterium
Ralstonia pickettii
Streptococcus canis
Corynebacterium urealyticum
Bacillus subtilis
Collinsella aerofaciens
Staphylococcus pseudintermedius
Staphylococcus intermedius
Acinetobacter defluvii
Parabacteroides distasonis
Shigella sonnei
Morganella morganii
Bifidobacterium longum
Anaerostipes hadrus
Vibrio neocaledonicus
Escherichia fergusonii
Citrobacter koseri
Streptococcus gwangjuense
Staphylococcus hominis
Capnocytophaga ochracea
Yersinia pestis
Shigella dysenteriae
Haemophilus parainfluenzae
Brucella ovis
Cupriavidus metallidurans
Proteus cibarius
Streptococcus porcinus
Vibrio vulnificus
Erysipelothrix rhusiopathiae
Jeotgalibaca porci
Lysobacter oculi
Massilistercora timonensis
Staphylococcus saprophyticus
Corynebacterium diphtheriae
Serratia rubidaea
Chryseobacterium taklimakanense
Brevibacillus laterosporus
Laribacter hongkongensis
Lachnoclostridium phocaeense
Shigella flexneri
Rhodococcus pyridinivorans
Acinetobacter nosocomialis
Luteibacter pinisoli
Streptococcus pasteurianus
Prevotella intermedia
Acinetobacter johnsonii
Pasteurella multocida
Faecalibacterium prausnitzii
Mycobacteroides abscessus
Proteus columbae
Histophilus somni
Klebsiella aerogenes
Staphylococcus simulans
Burkholderia cepacia
Campylobacter coli
Mycoplasma mycoides
Staphylococcus pasteuri
Serratia liquefaciens
Phoenicibacter congonensis
Photobacterium profundum
Kingella kingae
Bacteroides ovatus
Kosakonia arachidis
Jeotgalibaca ciconiae
Bacteroides fragilis
Alcaligenes faecalis
Aeromonas hydrophila
Xanthomonas campestris
Megasphaera stantonii
Providencia rettgeri
Streptococcus suis
Enterococcus casseliflavus
Pseudomonas fluorescens
Legionella pneumophila
Pseudomonas monteilii
Mycobacterium avium
Serratia marcescens
Serratia odorifera
Klebsiella pneumoniae
Haemophilus influenzae
Bifidobacterium gallinarum
Moraxella osloensis
Acinetobacter junii
Ruthenibacterium lactatiformans
Pseudomonas aeruginosa
Cronobacter sakazakii
Jeotgalibaca arthritidis
Pseudomonas chlororaphis
Phocaeicola vulgatus
Atopobiaceae bacterium
Deinococcus radiodurans
Enterobacter kobei
Enterococcus faecalis
Bifidobacterium breve
Streptococcus pyogenes
Christensenella minuta
Xanthomonas oryzae
Christensenella massiliensis
Gardnerella vaginalis
Bacillus tequilensis
Citrobacter portucalensis
Helicobacter pylori
Bacillus amyloliquefaciens
Pseudomonas stutzeri
Macrococcus canis
Proteus mirabilis
Rhodopseudomonas palustris
Proteus penneri
Blautia producta
Klebsiella michiganensis
Avibacterium paragallinarum
Pseudomonas synxantha
Shewanella putrefaciens
Proteus vulgaris
Ralstonia mannitolilytica
Nitrosomonas europaea
Providencia stuartii
Trueperella pyogenes
Schaalia odontolytica
Rhizobium leguminosarum
Streptococcus anginosus
Bacillus cereus
Acinetobacter wuhouensis
Riemerella anatipestifer
Rhodococcus rhodochrous
Enterococcus faecium
Chlamydia suis
Muribaculaceae bacterium
Francisella tularensis
Aeromonas caviae
Achromobacter insolitus
Yersinia canariae
Actinobacillus indolicus
Bifidobacterium animalis
Escherichia coli
Acinetobacter lwoffii
Paracoccus kondratievae
Listeria monocytogenes
Burkholderia pseudomallei
Myroides phaeus
Methylorubrum populi
Lactobacillus crispatus
Orrella dioscoreae
Aeromonas veronii
Micrococcus luteus
Vibrio cholerae
Eubacterium limosum
Burkholderia lata
Klebsiella quasipneumoniae
