pathogen,resistance,criteria,model type
"Pseudomonas aeruginosa","ARO:3002501","perfect_strict","protein homolog model"
"Phocaeicola dorei","ARO:3002999","perfect","protein homolog model"
"Phocaeicola dorei","ARO:3002999","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001109","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001109","perfect_strict","protein homolog model"
"Streptococcus suis","ARO:3002867","perfect_strict","protein homolog model"
"Enterococcus faecalis","ARO:3002867","perfect","protein homolog model"
"Streptococcus agalactiae","ARO:3002867","perfect_strict","protein homolog model"
"Streptococcus suis","ARO:3002867","perfect","protein homolog model"
"Staphylococcus aureus","ARO:3002867","perfect","protein homolog model"
"Streptococcus pasteurianus","ARO:3002867","perfect","protein homolog model"
"Streptococcus anginosus","ARO:3002867","perfect_strict","protein homolog model"
"Streptococcus agalactiae","ARO:3002867","perfect","protein homolog model"
"Enterococcus faecium","ARO:3002867","perfect_strict","protein homolog model"
"Bifidobacterium longum","ARO:3002867","perfect_strict","protein homolog model"
"Streptococcus lutetiensis","ARO:3002867","perfect","protein homolog model"
"Clostridioides difficile","ARO:3002867","perfect","protein homolog model"
"Streptococcus lutetiensis","ARO:3002867","perfect_strict","protein homolog model"
"Bifidobacterium breve","ARO:3002867","perfect_strict","protein homolog model"
"Streptococcus pyogenes","ARO:3002867","perfect_strict","protein homolog model"
"Staphylococcus aureus","ARO:3002867","perfect_strict","protein homolog model"
"Streptococcus anginosus","ARO:3002867","perfect","protein homolog model"
"Clostridium perfringens","ARO:3002867","perfect_strict","protein homolog model"
"Streptococcus pyogenes","ARO:3002867","perfect","protein homolog model"
"Clostridioides difficile","ARO:3002867","perfect_strict","protein homolog model"
"Enterococcus faecalis","ARO:3002867","perfect_strict","protein homolog model"
"Bifidobacterium longum","ARO:3002867","perfect","protein homolog model"
"Anaerostipes hadrus","ARO:3002867","perfect_strict","protein homolog model"
"Bifidobacterium breve","ARO:3002867","perfect","protein homolog model"
"Streptococcus pasteurianus","ARO:3002867","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3002867","perfect","protein homolog model"
"Escherichia coli","ARO:3001989","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001989","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001989","perfect","protein homolog model"
"Acinetobacter pittii","ARO:3002356","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002356","perfect","protein homolog model"
"Escherichia coli","ARO:3002356","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002356","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002356","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002356","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3001855","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3001855","perfect","protein homolog model"
"Acinetobacter baumannii","ARO:3002244","perfect_strict","protein homolog model"
"Aeromonas caviae","ARO:3000988","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3000988","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3000988","perfect_strict","protein homolog model"
"Acinetobacter pittii","ARO:3000988","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000988","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000988","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000928","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000928","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002320","perfect_strict","protein homolog model"
