resistance,drug
"ARO:0000002","ARO:3000050"
"ARO:3000002","ARO:3000081"
"ARO:3000006","ARO:3000081"
"ARO:3000011","ARO:3000081"
"ARO:3000014","ARO:0000004"
"ARO:3000014","ARO:0000032"
"ARO:3000014","ARO:3000008"
"ARO:3000014","ARO:3003706"
"ARO:3000015","ARO:0000020"
"ARO:3000015","ARO:0000032"
"ARO:3000015","ARO:3000008"
"ARO:3000016","ARO:0000032"
"ARO:3000017","ARO:0000020"
"ARO:3000017","ARO:0000032"
"ARO:3000017","ARO:3000008"
"ARO:3000018","ARO:0000020"
"ARO:3000020","ARO:0000020"
"ARO:3000020","ARO:0000032"
"ARO:3000020","ARO:0000044"
"ARO:3000020","ARO:3000008"
"ARO:3000020","ARO:3003706"
"ARO:3000021","ARO:0000020"
"ARO:3000021","ARO:0000032"
"ARO:3000021","ARO:0000044"
"ARO:3000021","ARO:3000008"
"ARO:3000021","ARO:3003706"
"ARO:3000026","ARO:0000042"
"ARO:3000036","ARO:3000050"
"ARO:3000043","ARO:0000004"
"ARO:3000043","ARO:0000032"
"ARO:3000055","ARO:0000020"
"ARO:3000056","ARO:0000004"
"ARO:3000056","ARO:0000020"
"ARO:3000056","ARO:0000032"
"ARO:3000056","ARO:3000008"
"ARO:3000056","ARO:3003706"
"ARO:3000057","ARO:0000020"
"ARO:3000057","ARO:0000032"
"ARO:3000057","ARO:0000044"
"ARO:3000057","ARO:3000008"
"ARO:3000058","ARO:0000004"
"ARO:3000058","ARO:0000032"
"ARO:3000059","ARO:0000004"
"ARO:3000059","ARO:0000020"
"ARO:3000059","ARO:0000032"
"ARO:3000059","ARO:3000008"
"ARO:3000060","ARO:0000020"
"ARO:3000066","ARO:0000020"
"ARO:3000066","ARO:0000032"
"ARO:3000066","ARO:3000008"
"ARO:3000067","ARO:0000032"
"ARO:3000067","ARO:0000044"
"ARO:3000068","ARO:0000032"
"ARO:3000068","ARO:0000044"
"ARO:3000069","ARO:0000044"
"ARO:3000071","ARO:3000081"
"ARO:3000072","ARO:0000020"
"ARO:3000072","ARO:0000032"
"ARO:3000072","ARO:0000044"
"ARO:3000072","ARO:3000008"
"ARO:3000073","ARO:0000004"
"ARO:3000073","ARO:0000032"
"ARO:3000073","ARO:3000008"
"ARO:3000077","ARO:3000081"
"ARO:3000083","ARO:0000032"
"ARO:3000083","ARO:0000044"
"ARO:3000083","ARO:3000008"
"ARO:3000089","ARO:3000008"
"ARO:3000091","ARO:3000008"
"ARO:3000094","ARO:0000004"
"ARO:3000094","ARO:0000032"
"ARO:3000094","ARO:0000044"
"ARO:3000094","ARO:3000008"
"ARO:3000094","ARO:3003706"
"ARO:3000095","ARO:0000032"
"ARO:3000097","ARO:3000008"
"ARO:3000097","ARO:3003706"
"ARO:3000098","ARO:0000004"
"ARO:3000098","ARO:0000020"
"ARO:3000098","ARO:0000032"
"ARO:3000116","ARO:3000081"
"ARO:3000122","ARO:3000387"
"ARO:3000126","ARO:0000016"
"ARO:3000127","ARO:0000016"
"ARO:3000128","ARO:0000016"
"ARO:3000133","ARO:0000025"
"ARO:3000151","ARO:0000016"
"ARO:3000153","ARO:0000016"
"ARO:3000154","ARO:0000016"
"ARO:3000155","ARO:0000016"
"ARO:3000202","ARO:0000017"
"ARO:3000202","ARO:0000026"
"ARO:3000202","ARO:3000079"
"ARO:3000202","ARO:3000387"
"ARO:3000210","ARO:3000157"
"ARO:3000221","ARO:0000017"
"ARO:3000225","ARO:0000016"
"ARO:3000228","ARO:0000016"
"ARO:3000229","ARO:0000016"
"ARO:3000234","ARO:3000081"
"ARO:3000249","ARO:3000387"
"ARO:3000320","ARO:0000000"
"ARO:3000322","ARO:0000016"
"ARO:3000333","ARO:0000000"
"ARO:3000341","ARO:0000016"
"ARO:3000345","ARO:0000016"
"ARO:3000372","ARO:3000081"
"ARO:3000376","ARO:0000026"
"ARO:3000384","ARO:0000001"
"ARO:3000386","ARO:0000000"
"ARO:3000386","ARO:0000001"
"ARO:3000386","ARO:0000032"
"ARO:3000386","ARO:0000044"
"ARO:3000386","ARO:3000008"
"ARO:3000386","ARO:3000282"
"ARO:3000386","ARO:3003706"
"ARO:3000390","ARO:3000157"
"ARO:3000419","ARO:0000001"
"ARO:3000443","ARO:3000157"
"ARO:3000445","ARO:3000157"
"ARO:3000446","ARO:3000554"
"ARO:3000453","ARO:0000026"
"ARO:3000457","ARO:3000103"
"ARO:3000465","ARO:0000000"
"ARO:3000479","ARO:3000103"
"ARO:3000480","ARO:3000103"
"ARO:3000491","ARO:0000016"
"ARO:3000496","ARO:3000081"
"ARO:3000503","ARO:0000001"
"ARO:3000503","ARO:0000032"
"ARO:3000503","ARO:0000044"
"ARO:3000503","ARO:3000008"
"ARO:3000560","ARO:0000000"
"ARO:3000560","ARO:0000017"
"ARO:3000560","ARO:0000026"
"ARO:3000574","ARO:3000081"
"ARO:3000575","ARO:3000081"
"ARO:3000577","ARO:0000032"
"ARO:3000577","ARO:3000008"
"ARO:3000580","ARO:0000020"
"ARO:3000581","ARO:0000020"
"ARO:3000619","ARO:0000001"
"ARO:3000747","ARO:0000000"
"ARO:3000753","ARO:0000001"
"ARO:3000753","ARO:3000870"
"ARO:3000771","ARO:0000001"
"ARO:3000772","ARO:0000000"
"ARO:3000772","ARO:0000001"
"ARO:3000772","ARO:0000017"
"ARO:3000772","ARO:0000032"
"ARO:3000773","ARO:0000001"
"ARO:3000786","ARO:0000004"
"ARO:3000786","ARO:0000020"
"ARO:3000786","ARO:0000032"
"ARO:3000786","ARO:0000044"
"ARO:3000786","ARO:3000008"
"ARO:3000786","ARO:3003706"
"ARO:3000797","ARO:0000000"
"ARO:3000797","ARO:0000001"
"ARO:3000797","ARO:0000032"
"ARO:3000797","ARO:3000008"
"ARO:3000798","ARO:0000001"
"ARO:3000821","ARO:3000053"
"ARO:3000863","ARO:3000053"
"ARO:3000864","ARO:0000001"
"ARO:3000869","ARO:3000034"
"ARO:3001208","ARO:3000008"
"ARO:3001218","ARO:3000171"
"ARO:3001298","ARO:0000000"
"ARO:3001298","ARO:0000017"
"ARO:3001312","ARO:3001219"
"ARO:3001327","ARO:0000001"
"ARO:3002384","ARO:0000004"
"ARO:3002384","ARO:0000032"
"ARO:3002384","ARO:3000008"
"ARO:3002388","ARO:0000004"
"ARO:3002388","ARO:0000032"
"ARO:3002388","ARO:3000008"
"ARO:3002417","ARO:0000032"
"ARO:3002417","ARO:3000008"
"ARO:3002694","ARO:3000387"
"ARO:3002811","ARO:0000025"
"ARO:3002876","ARO:3000527"
"ARO:3002882","ARO:0000017"
"ARO:3002906","ARO:3000081"
"ARO:3002915","ARO:3000081"
