ARO Accession	Name	Model ID	Model Type	Pathogen	NCBI Plasmid	NCBI WGS	NCBI Chromosome	NCBI Genomic Island	Criteria	ARO Categories
ARO:3002501	PDC-4	1	protein homolog model	Pseudomonas aeruginosa	0	0.04	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; monobactam
ARO:3002999	CblA-1	2	protein homolog model	Phocaeicola dorei	0	1.92	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3002999	CblA-1	2	protein homolog model	Phocaeicola dorei	0	1.92	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001109	SHV-52	4	protein homolog model	Klebsiella pneumoniae	0	0.15	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001109	SHV-52	4	protein homolog model	Klebsiella pneumoniae	0	0.16	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3002867	dfrF	5	protein homolog model	Streptococcus suis	0	0.99	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecalis	0	4.72	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus agalactiae	0	0.17	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus suis	0	0.15	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Staphylococcus aureus	0	0.11	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pasteurianus	0	11.11	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus anginosus	0	6.06	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus agalactiae	0	0.17	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecium	0.09	27.14	39.81	3.92	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
